S.No,DNAPass AS Name,Subject coverage,Weighted Score
245,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4312
246,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3611
247,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2935
248,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.657
249,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4118
250,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1775
251,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5217
252,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4239
253,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6123
254,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.3611
255,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3188
256,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4058
257,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4094
258,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2645
259,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.3973
260,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4928
261,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4444
262,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.1413
263,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.2959
264,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.4046
265,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6002
266,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3986
267,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1159
268,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.2983
269,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2271
270,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.3816
271,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5314
272,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.628
273,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.25
274,BNCH-Java-Jr-Java Jr Dev Test-grades,0.88,0.7838
275,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5242
276,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5399
277,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4553
278,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4058
279,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2428
280,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.5906
281,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6558
282,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3406
283,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.1884
284,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3418
285,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5749
